Real: 0.405766	Estimated: 0.283697	cutvector: 837 	cutvector: 1024 
Real: 0.336205	Estimated: 0.295547	cutvector: 84 	cutvector: 1024 
Real: 0.303426	Estimated: 0.287176	cutvector: 669 	cutvector: 1024 
Real: 0.336126	Estimated: 0.282821	cutvector: 688 	cutvector: 1024 
Real: 0.33749	Estimated: 0.288123	cutvector: 940 	cutvector: 1024 
Real: 0.395854	Estimated: 0.288733	cutvector: 940 	cutvector: 1024 
Real: 0.345891	Estimated: 0.276883	cutvector: 885 	cutvector: 1024 
Real: 0.371963	Estimated: 0.296063	cutvector: 899 	cutvector: 1024 
Real: 0.3996	Estimated: 0.295001	cutvector: 883 	cutvector: 1024 
Real: 0.367079	Estimated: 0.292407	cutvector: 838 	cutvector: 1024 
Real: 0.305547	Estimated: 0.285217	cutvector: 806 	cutvector: 1024 
Real: 0.382543	Estimated: 0.270289	cutvector: 730 	cutvector: 1024 
Real: 0.403142	Estimated: 0.276071	cutvector: 84 	cutvector: 1024 
Real: 0.39982	Estimated: 0.275449	cutvector: 734 	cutvector: 1024 
Real: 0.298272	Estimated: 0.30106	cutvector: 833 	cutvector: 1024 
Real: 0.383538	Estimated: 0.297051	cutvector: 858 	cutvector: 1024 
Real: 0.363276	Estimated: 0.296542	cutvector: 916 	cutvector: 1024 
Real: 0.374937	Estimated: 0.308614	cutvector: 926 	cutvector: 1024 
Real: 0.408737	Estimated: 0.314519	cutvector: 921 	cutvector: 1024 
Real: 0.371185	Estimated: 0.335959	cutvector: 935 	cutvector: 1024 
Real: 0.453758	Estimated: 0.330712	cutvector: 921 	cutvector: 1024 
Real: 0.439991	Estimated: 0.352271	cutvector: 927 	cutvector: 1024 
Real: 0.320531	Estimated: 0.371686	cutvector: 940 	cutvector: 1024 
Real: 0.45225	Estimated: 0.352424	cutvector: 926 	cutvector: 1024 
Real: 0.379698	Estimated: 0.382073	cutvector: 940 	cutvector: 1024 
Real: 0.346928	Estimated: 0.376693	cutvector: 916 	cutvector: 1024 
Real: 0.310925	Estimated: 0.372771	cutvector: 940 	cutvector: 1024 
Real: 0.291965	Estimated: 0.350354	cutvector: 940 	cutvector: 1024 
Real: 0.343025	Estimated: 0.342815	cutvector: 940 	cutvector: 1024 
Real: 0.406342	Estimated: 0.326131	cutvector: 940 	cutvector: 1024 
Real: 0.426908	Estimated: 0.31524	cutvector: 940 	cutvector: 1024 
Real: 0.481044	Estimated: 0.299995	cutvector: 916 	cutvector: 1024 
Real: 0.531401	Estimated: 0.298512	cutvector: 854 	cutvector: 1024 
Real: 0.361728	Estimated: 0.298326	cutvector: 810 	cutvector: 1024 
Real: 0.403355	Estimated: 0.296293	cutvector: 786 	cutvector: 1024 
Real: 0.409396	Estimated: 0.308398	cutvector: 821 	cutvector: 1024 
Real: 0.384433	Estimated: 0.315043	cutvector: 892 	cutvector: 1024 
Real: 0.458563	Estimated: 0.318044	cutvector: 889 	cutvector: 1024 
Real: 0.420387	Estimated: 0.332043	cutvector: 84 	cutvector: 1024 
Real: 0.388613	Estimated: 0.346706	cutvector: 867 	cutvector: 1024 
Real: 0.512233	Estimated: 0.30557	cutvector: 84 	cutvector: 1024 
Real: 0.335468	Estimated: 0.31446	cutvector: 683 	cutvector: 1024 
Real: 0.470379	Estimated: 0.293848	cutvector: 703 	cutvector: 1024 
Real: 0.403599	Estimated: 0.302067	cutvector: 84 	cutvector: 1024 
Real: 0.377921	Estimated: 0.366157	cutvector: 940 	cutvector: 1024 
Real: 0.355751	Estimated: 0.33171	cutvector: 338 	cutvector: 1024 
Real: 0.414385	Estimated: 0.353505	cutvector: 940 	cutvector: 1024 
Real: 0.329192	Estimated: 0.344885	cutvector: 940 	cutvector: 1024 
Real: 0.361337	Estimated: 0.339898	cutvector: 940 	cutvector: 1024 
Real: 0.333591	Estimated: 0.33251	cutvector: 940 	cutvector: 1024 
Real: 0.36092	Estimated: 0.318668	cutvector: 940 	cutvector: 1024 
Real: 0.43242	Estimated: 0.317353	cutvector: 336 	cutvector: 1024 
Real: 0.343414	Estimated: 0.316798	cutvector: 940 	cutvector: 1024 
Real: 0.481435	Estimated: 0.295666	cutvector: 931 	cutvector: 1024 
Real: 0.468882	Estimated: 0.32338	cutvector: 940 	cutvector: 1024 
Real: 0.360498	Estimated: 0.342381	cutvector: 940 	cutvector: 1024 
Real: 0.43172	Estimated: 0.334653	cutvector: 84 	cutvector: 1024 
Real: 0.440141	Estimated: 0.319015	cutvector: 677 	cutvector: 1024 
Real: 0.282575	Estimated: 0.327952	cutvector: 940 	cutvector: 1024 
Real: 0.274807	Estimated: 0.308439	cutvector: 940 	cutvector: 1024 
Real: 0.315334	Estimated: 0.2939	cutvector: 940 	cutvector: 1024 
Real: 0.304976	Estimated: 0.295519	cutvector: 935 	cutvector: 1024 
Real: 0.296384	Estimated: 0.308629	cutvector: 940 	cutvector: 1024 
Real: 0.506568	Estimated: 0.292398	cutvector: 940 	cutvector: 1024 
Real: 0.335381	Estimated: 0.30583	cutvector: 940 	cutvector: 1024 
Real: 0.438279	Estimated: 0.315987	cutvector: 940 	cutvector: 1024 
Real: 0.394013	Estimated: 0.308616	cutvector: 940 	cutvector: 1024 
Real: 0.333463	Estimated: 0.328895	cutvector: 940 	cutvector: 1024 
Real: 0.466332	Estimated: 0.310099	cutvector: 933 	cutvector: 1024 
Real: 0.365814	Estimated: 0.312686	cutvector: 940 	cutvector: 1024 
Real: 0.368699	Estimated: 0.315273	cutvector: 940 	cutvector: 1024 
Real: 0.397456	Estimated: 0.327576	cutvector: 940 	cutvector: 1024 
Real: 0.37827	Estimated: 0.346775	cutvector: 940 	cutvector: 1024 
Real: 0.40137	Estimated: 0.337899	cutvector: 940 	cutvector: 1024 
Real: 0.451893	Estimated: 0.347745	cutvector: 940 	cutvector: 1024 
Real: 0.468117	Estimated: 0.354473	cutvector: 940 	cutvector: 1024 
Real: 0.406639	Estimated: 0.354227	cutvector: 940 	cutvector: 1024 
Real: 0.325369	Estimated: 0.336238	cutvector: 940 	cutvector: 1024 
Real: 0.385109	Estimated: 0.334349	cutvector: 940 	cutvector: 1024 
Real: 0.20682	Estimated: 0.310713	cutvector: 920 	cutvector: 1024 
Real: 0.370481	Estimated: 0.293055	cutvector: 940 	cutvector: 1024 
Real: 0.406433	Estimated: 0.28564	cutvector: 732 	cutvector: 1024 
Real: 0.360796	Estimated: 0.295006	cutvector: 785 	cutvector: 1024 
Real: 0.369467	Estimated: 0.309872	cutvector: 824 	cutvector: 1024 
Real: 0.351854	Estimated: 0.309251	cutvector: 872 	cutvector: 1024 
Real: 0.408519	Estimated: 0.309847	cutvector: 873 	cutvector: 1024 
Real: 0.522484	Estimated: 0.315668	cutvector: 84 	cutvector: 1024 
Real: 0.380839	Estimated: 0.33419	cutvector: 683 	cutvector: 1024 
Real: 0.423745	Estimated: 0.331192	cutvector: 903 	cutvector: 1024 
Real: 0.401931	Estimated: 0.29746	cutvector: 84 	cutvector: 1024 
Real: 0.430671	Estimated: 0.319526	cutvector: 714 	cutvector: 1024 
Real: 0.478179	Estimated: 0.320324	cutvector: 84 	cutvector: 1024 
Real: 0.447504	Estimated: 0.350698	cutvector: 926 	cutvector: 1024 
Real: 0.263555	Estimated: 0.379494	cutvector: 940 	cutvector: 1024 
Real: 0.362731	Estimated: 0.351433	cutvector: 940 	cutvector: 1024 
Real: 0.39077	Estimated: 0.352675	cutvector: 940 	cutvector: 1024 
Real: 0.342218	Estimated: 0.362652	cutvector: 940 	cutvector: 1024 
Real: 0.397473	Estimated: 0.358818	cutvector: 940 	cutvector: 1024 
Real: 0.316073	Estimated: 0.360563	cutvector: 940 	cutvector: 1024 
Real: 0.437681	Estimated: 0.346978	cutvector: 940 	cutvector: 1024 
Real: 0.384814	Estimated: 0.379704	cutvector: 940 	cutvector: 1024 
Real: 0.368216	Estimated: 0.391706	cutvector: 940 	cutvector: 1024 
Real: 0.398902	Estimated: 0.411814	cutvector: 940 	cutvector: 1024 
Real: 0.271048	Estimated: 0.377624	cutvector: 940 	cutvector: 1024 
Real: 0.321184	Estimated: 0.366056	cutvector: 940 	cutvector: 1024 
Real: 0.436656	Estimated: 0.361194	cutvector: 940 	cutvector: 1024 
Real: 0.484989	Estimated: 0.059971	cutvector: 84 	cutvector: 1024 
Real: 0.337294	Estimated: 0.0614876	cutvector: 84 	cutvector: 1024 
Real: 0.444581	Estimated: 0.34968	cutvector: 84 	cutvector: 1024 
Real: 0.345313	Estimated: 0.345971	cutvector: 84 	cutvector: 1024 
Real: 0.461941	Estimated: 0.329816	cutvector: 84 	cutvector: 1024 
Real: 0.322805	Estimated: 0.350319	cutvector: 940 	cutvector: 1024 
Real: 0.39091	Estimated: 0.341993	cutvector: 940 	cutvector: 1024 
Real: 0.425969	Estimated: 0.339256	cutvector: 940 	cutvector: 1024 
Real: 0.422403	Estimated: 0.344534	cutvector: 940 	cutvector: 1024 
Real: 0.405635	Estimated: 0.330231	cutvector: 940 	cutvector: 1024 
Real: 0.349872	Estimated: 0.364249	cutvector: 940 	cutvector: 1024 
Real: 0.33104	Estimated: 0.351827	cutvector: 940 	cutvector: 1024 
