Real: 0.196051	Estimated: 0.18761	cutvector: 925 	cutvector: 1024 
Real: 0.181061	Estimated: 0.197779	cutvector: 940 	cutvector: 1024 
Real: 0.198703	Estimated: 0.174645	cutvector: 926 	cutvector: 1024 
Real: 0.206752	Estimated: 0.18006	cutvector: 927 	cutvector: 1024 
Real: 0.180906	Estimated: 0.18176	cutvector: 920 	cutvector: 1024 
Real: 0.187898	Estimated: 0.176561	cutvector: 915 	cutvector: 1024 
Real: 0.173715	Estimated: 0.174925	cutvector: 901 	cutvector: 1024 
Real: 0.228324	Estimated: 0.168461	cutvector: 913 	cutvector: 1024 
Real: 0.194433	Estimated: 0.177497	cutvector: 939 	cutvector: 1024 
Real: 0.156513	Estimated: 0.174734	cutvector: 688 	cutvector: 1024 
Real: 0.221116	Estimated: 0.157865	cutvector: 709 	cutvector: 1024 
Real: 0.192813	Estimated: 0.161056	cutvector: 732 	cutvector: 1024 
Real: 0.242741	Estimated: 0.168698	cutvector: 687 	cutvector: 1024 
Real: 0.215703	Estimated: 0.172894	cutvector: 257 	cutvector: 1024 
Real: 0.193242	Estimated: 0.181847	cutvector: 361 	cutvector: 1024 
Real: 0.167741	Estimated: 0.183318	cutvector: 940 	cutvector: 1024 
Real: 0.159009	Estimated: 0.180365	cutvector: 940 	cutvector: 1024 
Real: 0.206108	Estimated: 0.170987	cutvector: 940 	cutvector: 1024 
Real: 0.211151	Estimated: 0.17415	cutvector: 940 	cutvector: 1024 
Real: 0.190071	Estimated: 0.170963	cutvector: 940 	cutvector: 1024 
Real: 0.18641	Estimated: 0.170961	cutvector: 940 	cutvector: 1024 
Real: 0.206585	Estimated: 0.166633	cutvector: 940 	cutvector: 1024 
Real: 0.316451	Estimated: 0.171434	cutvector: 683 	cutvector: 1024 
Real: 0.185186	Estimated: 0.195606	cutvector: 767 	cutvector: 1024 
Real: 0.175882	Estimated: 0.191998	cutvector: 926 	cutvector: 1024 
Real: 0.184426	Estimated: 0.195477	cutvector: 940 	cutvector: 1024 
Real: 0.172061	Estimated: 0.182931	cutvector: 940 	cutvector: 1024 
Real: 0.208638	Estimated: 0.175774	cutvector: 940 	cutvector: 1024 
Real: 0.204976	Estimated: 0.180156	cutvector: 940 	cutvector: 1024 
Real: 0.214453	Estimated: 0.17623	cutvector: 940 	cutvector: 1024 
Real: 0.187388	Estimated: 0.178047	cutvector: 940 	cutvector: 1024 
Real: 0.188555	Estimated: 0.169645	cutvector: 930 	cutvector: 1024 
Real: 0.187221	Estimated: 0.178267	cutvector: 940 	cutvector: 1024 
Real: 0.177807	Estimated: 0.164807	cutvector: 923 	cutvector: 1024 
Real: 0.150962	Estimated: 0.163648	cutvector: 672 	cutvector: 1024 
Real: 0.178002	Estimated: 0.156926	cutvector: 920 	cutvector: 1024 
Real: 0.179217	Estimated: 0.156713	cutvector: 940 	cutvector: 1024 
Real: 0.174081	Estimated: 0.157726	cutvector: 940 	cutvector: 1024 
Real: 0.17735	Estimated: 0.157848	cutvector: 940 	cutvector: 1024 
Real: 0.168129	Estimated: 0.15436	cutvector: 940 	cutvector: 1024 
Real: 0.164202	Estimated: 0.154631	cutvector: 940 	cutvector: 1024 
Real: 0.184635	Estimated: 0.15012	cutvector: 940 	cutvector: 1024 
Real: 0.181372	Estimated: 0.148987	cutvector: 940 	cutvector: 1024 
Real: 0.174213	Estimated: 0.15001	cutvector: 940 	cutvector: 1024 
Real: 0.183298	Estimated: 0.151075	cutvector: 940 	cutvector: 1024 
Real: 0.187241	Estimated: 0.11975	cutvector: 84 	cutvector: 1024 
Real: 0.190802	Estimated: 0.155391	cutvector: 940 	cutvector: 1024 
Real: 0.174787	Estimated: 0.152261	cutvector: 940 	cutvector: 1024 
Real: 0.210239	Estimated: 0.142978	cutvector: 84 	cutvector: 1024 
Real: 0.192323	Estimated: 0.165319	cutvector: 940 	cutvector: 1024 
Real: 0.167918	Estimated: 0.163405	cutvector: 940 	cutvector: 1024 
Real: 0.17677	Estimated: 0.152826	cutvector: 940 	cutvector: 1024 
Real: 0.159591	Estimated: 0.147802	cutvector: 940 	cutvector: 1024 
Real: 0.245002	Estimated: 0.139364	cutvector: 84 	cutvector: 1024 
Real: 0.197984	Estimated: 0.167595	cutvector: 339 	cutvector: 1024 
Real: 0.197401	Estimated: 0.171034	cutvector: 321 	cutvector: 1024 
Real: 0.169211	Estimated: 0.171558	cutvector: 940 	cutvector: 1024 
Real: 0.20521	Estimated: 0.166624	cutvector: 940 	cutvector: 1024 
Real: 0.20096	Estimated: 0.167128	cutvector: 940 	cutvector: 1024 
Real: 0.174511	Estimated: 0.151175	cutvector: 241 	cutvector: 1024 
Real: 0.184084	Estimated: 0.155763	cutvector: 304 	cutvector: 1024 
Real: 0.169554	Estimated: 0.164387	cutvector: 671 	cutvector: 1024 
Real: 0.19619	Estimated: 0.164667	cutvector: 925 	cutvector: 1024 
Real: 0.19329	Estimated: 0.169145	cutvector: 757 	cutvector: 1024 
Real: 0.193473	Estimated: 0.169189	cutvector: 939 	cutvector: 1024 
Real: 0.202115	Estimated: 0.176192	cutvector: 940 	cutvector: 1024 
Real: 0.1899	Estimated: 0.168262	cutvector: 682 	cutvector: 1024 
Real: 0.198855	Estimated: 0.172047	cutvector: 813 	cutvector: 1024 
Real: 0.17923	Estimated: 0.173495	cutvector: 913 	cutvector: 1024 
Real: 0.198881	Estimated: 0.173424	cutvector: 940 	cutvector: 1024 
Real: 0.163454	Estimated: 0.168536	cutvector: 698 	cutvector: 1024 
Real: 0.193132	Estimated: 0.158399	cutvector: 753 	cutvector: 1024 
Real: 0.181012	Estimated: 0.164645	cutvector: 914 	cutvector: 1024 
Real: 0.198368	Estimated: 0.164301	cutvector: 927 	cutvector: 1024 
Real: 0.195713	Estimated: 0.166068	cutvector: 939 	cutvector: 1024 
Real: 0.161184	Estimated: 0.170707	cutvector: 269 	cutvector: 1024 
Real: 0.184781	Estimated: 0.152223	cutvector: 698 	cutvector: 1024 
Real: 0.165826	Estimated: 0.160397	cutvector: 782 	cutvector: 1024 
Real: 0.212261	Estimated: 0.158623	cutvector: 862 	cutvector: 1024 
Real: 0.169097	Estimated: 0.160858	cutvector: 823 	cutvector: 1024 
Real: 0.157911	Estimated: 0.159588	cutvector: 693 	cutvector: 1024 
Real: 0.154215	Estimated: 0.150462	cutvector: 714 	cutvector: 1024 
Real: 0.214483	Estimated: 0.14989	cutvector: 791 	cutvector: 1024 
Real: 0.195458	Estimated: 0.15969	cutvector: 887 	cutvector: 1024 
Real: 0.154155	Estimated: 0.164452	cutvector: 919 	cutvector: 1024 
Real: 0.180191	Estimated: 0.160368	cutvector: 875 	cutvector: 1024 
Real: 0.19687	Estimated: 0.158941	cutvector: 842 	cutvector: 1024 
Real: 0.217267	Estimated: 0.165751	cutvector: 902 	cutvector: 1024 
Real: 0.168657	Estimated: 0.164364	cutvector: 821 	cutvector: 1024 
Real: 0.180929	Estimated: 0.164054	cutvector: 756 	cutvector: 1024 
Real: 0.183731	Estimated: 0.163985	cutvector: 787 	cutvector: 1024 
Real: 0.169157	Estimated: 0.16228	cutvector: 808 	cutvector: 1024 
Real: 0.209643	Estimated: 0.159637	cutvector: 840 	cutvector: 1024 
Real: 0.199547	Estimated: 0.165592	cutvector: 900 	cutvector: 1024 
Real: 0.177639	Estimated: 0.163299	cutvector: 940 	cutvector: 1024 
Real: 0.194528	Estimated: 0.157209	cutvector: 940 	cutvector: 1024 
Real: 0.186082	Estimated: 0.152147	cutvector: 940 	cutvector: 1024 
Real: 0.216068	Estimated: 0.154298	cutvector: 940 	cutvector: 1024 
Real: 0.230317	Estimated: 0.155786	cutvector: 940 	cutvector: 1024 
Real: 0.268442	Estimated: 0.162138	cutvector: 940 	cutvector: 1024 
Real: 0.229584	Estimated: 0.175148	cutvector: 940 	cutvector: 1024 
Real: 0.249648	Estimated: 0.177767	cutvector: 940 	cutvector: 1024 
Real: 0.192698	Estimated: 0.190474	cutvector: 940 	cutvector: 1024 
Real: 0.171173	Estimated: 0.187386	cutvector: 940 	cutvector: 1024 
Real: 0.169301	Estimated: 0.180676	cutvector: 919 	cutvector: 1024 
Real: 0.209955	Estimated: 0.18028	cutvector: 906 	cutvector: 1024 
Real: 0.238499	Estimated: 0.172094	cutvector: 850 	cutvector: 1024 
Real: 0.20552	Estimated: 0.184651	cutvector: 868 	cutvector: 1024 
Real: 0.200938	Estimated: 0.182223	cutvector: 693 	cutvector: 1024 
Real: 0.23262	Estimated: 0.175705	cutvector: 800 	cutvector: 1024 
Real: 0.174688	Estimated: 0.186885	cutvector: 940 	cutvector: 1024 
Real: 0.188776	Estimated: 0.178783	cutvector: 940 	cutvector: 1024 
Real: 0.209906	Estimated: 0.171078	cutvector: 688 	cutvector: 1024 
Real: 0.164562	Estimated: 0.168743	cutvector: 698 	cutvector: 1024 
Real: 0.201322	Estimated: 0.169958	cutvector: 782 	cutvector: 1024 
Real: 0.229429	Estimated: 0.173068	cutvector: 888 	cutvector: 1024 
Real: 0.224996	Estimated: 0.177835	cutvector: 703 	cutvector: 1024 
Real: 0.180729	Estimated: 0.186247	cutvector: 940 	cutvector: 1024 
Real: 0.193919	Estimated: 0.183873	cutvector: 940 	cutvector: 1024 
Real: 0.176854	Estimated: 0.180773	cutvector: 940 	cutvector: 1024 
Real: 0.19958	Estimated: 0.173266	cutvector: 705 	cutvector: 1024 
Real: 0.22653	Estimated: 0.164654	cutvector: 940 	cutvector: 1024 
Real: 0.212796	Estimated: 0.170626	cutvector: 940 	cutvector: 1024 
Real: 0.14956	Estimated: 0.17609	cutvector: 789 	cutvector: 1024 
Real: 0.21231	Estimated: 0.165085	cutvector: 940 	cutvector: 1024 
Real: 0.180196	Estimated: 0.16257	cutvector: 882 	cutvector: 1024 
Real: 0.223919	Estimated: 0.154002	cutvector: 84 	cutvector: 1024 
Real: 0.165595	Estimated: 0.187999	cutvector: 940 	cutvector: 1024 
Real: 0.181896	Estimated: 0.179595	cutvector: 940 	cutvector: 1024 
Real: 0.194435	Estimated: 0.177696	cutvector: 940 	cutvector: 1024 
Real: 0.165551	Estimated: 0.173964	cutvector: 940 	cutvector: 1024 
Real: 0.164709	Estimated: 0.174623	cutvector: 940 	cutvector: 1024 
Real: 0.195849	Estimated: 0.174209	cutvector: 940 	cutvector: 1024 
Real: 0.179411	Estimated: 0.168261	cutvector: 940 	cutvector: 1024 
Real: 0.211468	Estimated: 0.165916	cutvector: 940 	cutvector: 1024 
Real: 0.206214	Estimated: 0.170686	cutvector: 940 	cutvector: 1024 
Real: 0.202148	Estimated: 0.170403	cutvector: 940 	cutvector: 1024 
Real: 0.196543	Estimated: 0.178032	cutvector: 938 	cutvector: 1024 
Real: 0.180099	Estimated: 0.251208	cutvector: 940 	cutvector: 1024 
Real: 0.202383	Estimated: 0.18905	cutvector: 940 	cutvector: 1024 
Real: 0.18714	Estimated: 0.182693	cutvector: 940 	cutvector: 1024 
Real: 0.200821	Estimated: 0.178124	cutvector: 940 	cutvector: 1024 
Real: 0.184635	Estimated: 0.173473	cutvector: 940 	cutvector: 1024 
Real: 0.177214	Estimated: 0.192863	cutvector: 940 	cutvector: 1024 
Real: 0.205267	Estimated: 0.193609	cutvector: 940 	cutvector: 1024 
Real: 0.208939	Estimated: 0.230478	cutvector: 940 	cutvector: 1024 
Real: 0.198861	Estimated: 0.185188	cutvector: 940 	cutvector: 1024 
Real: 0.183501	Estimated: 0.18341	cutvector: 940 	cutvector: 1024 
Real: 0.190705	Estimated: 0.17697	cutvector: 940 	cutvector: 1024 
Real: 0.244661	Estimated: 0.17778	cutvector: 596 	cutvector: 1024 
Real: 0.148057	Estimated: 0.183201	cutvector: 668 	cutvector: 1024 
Real: 0.150451	Estimated: 0.178508	cutvector: 667 	cutvector: 1024 
Real: 0.176209	Estimated: 0.156424	cutvector: 940 	cutvector: 1024 
Real: 0.195894	Estimated: 0.168674	cutvector: 940 	cutvector: 1024 
Real: 0.206841	Estimated: 0.165093	cutvector: 595 	cutvector: 1024 
Real: 0.196836	Estimated: 0.155834	cutvector: 940 	cutvector: 1024 
Real: 0.186644	Estimated: 0.159435	cutvector: 940 	cutvector: 1024 
Real: 0.169108	Estimated: 0.152668	cutvector: 940 	cutvector: 1024 
Real: 0.178869	Estimated: 0.153211	cutvector: 940 	cutvector: 1024 
Real: 0.2519	Estimated: 0.107458	cutvector: 84 	cutvector: 1024 
Real: 0.188042	Estimated: 0.162935	cutvector: 940 	cutvector: 1024 
Real: 0.154206	Estimated: 0.158627	cutvector: 940 	cutvector: 1024 
